                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.4056,                0.65915,                0.90633,                 4.7073,              0.0033301,              0.0033301,              0.0033301
                      2,                 2.1558,                0.91461,                0.99517,                 4.3291,              0.0066305,              0.0066305,              0.0066305
                      3,                 0.7978,                0.92313,                0.99701,                 4.3023,              0.0098978,              0.0098978,              0.0098978
                      4,                0.58804,                0.96824,                      1,                 4.2281,              0.0098515,              0.0098515,              0.0098515
                      5,                0.46289,                0.96663,                      1,                 4.2306,               0.009802,               0.009802,               0.009802
                      6,                0.39152,                0.97514,                0.99977,                 4.2221,              0.0097525,              0.0097525,              0.0097525
                      7,                0.32751,                0.96824,                0.99954,                 4.2397,               0.009703,               0.009703,               0.009703
                      8,                0.28411,                0.97814,                0.99931,                 4.2146,              0.0096535,              0.0096535,              0.0096535
                      9,                0.24511,                 0.9786,                0.99908,                 4.2153,               0.009604,               0.009604,               0.009604
                     10,                0.23403,                0.98159,                0.99977,                 4.2092,              0.0095545,              0.0095545,              0.0095545
                     11,                0.23382,                0.98849,                      1,                 4.2031,               0.009505,               0.009505,               0.009505
                     12,                0.21764,                0.98642,                0.99977,                 4.2044,              0.0094555,              0.0094555,              0.0094555
                     13,                0.20255,                 0.9878,                0.99954,                 4.2051,               0.009406,               0.009406,               0.009406
                     14,                 0.1902,                0.99102,                      1,                 4.2002,              0.0093565,              0.0093565,              0.0093565
                     15,                0.17474,                0.98987,                      1,                  4.201,               0.009307,               0.009307,               0.009307
                     16,                0.18278,                0.98941,                      1,                  4.202,              0.0092575,              0.0092575,              0.0092575
                     17,                0.16128,                0.98665,                0.99977,                 4.2037,               0.009208,               0.009208,               0.009208
                     18,                0.16199,                0.99171,                      1,                 4.2007,              0.0091585,              0.0091585,              0.0091585
                     19,                0.15824,                0.99448,                      1,                 4.1957,               0.009109,               0.009109,               0.009109
                     20,                0.14839,                0.99033,                      1,                 4.1976,              0.0090595,              0.0090595,              0.0090595
                     21,                0.14502,                0.99217,                0.99977,                 4.1985,                0.00901,                0.00901,                0.00901
                     22,                0.16865,                0.99517,                      1,                 4.1955,              0.0089605,              0.0089605,              0.0089605
                     23,                0.12546,                 0.9931,                      1,                 4.1959,               0.008911,               0.008911,               0.008911
                     24,                0.13928,                 0.9954,                      1,                 4.1938,              0.0088615,              0.0088615,              0.0088615
                     25,                0.12495,                 0.9954,                      1,                 4.1946,               0.008812,               0.008812,               0.008812
                     26,                0.13211,                0.99494,                      1,                 4.1933,              0.0087625,              0.0087625,              0.0087625
                     27,                0.14238,                0.99448,                      1,                 4.1944,               0.008713,               0.008713,               0.008713
                     28,                0.13422,                0.99402,                0.99977,                 4.1945,              0.0086635,              0.0086635,              0.0086635
                     29,                0.11851,                0.99655,                      1,                 4.1922,               0.008614,               0.008614,               0.008614
                     30,                0.12172,                0.99517,                      1,                  4.193,              0.0085645,              0.0085645,              0.0085645
                     31,                0.11683,                 0.9954,                      1,                 4.1934,               0.008515,               0.008515,               0.008515
                     32,                0.11934,                0.99563,                      1,                 4.1926,              0.0084655,              0.0084655,              0.0084655
                     33,                0.14171,                0.99586,                      1,                 4.1935,               0.008416,               0.008416,               0.008416
                     34,                0.10458,                0.99356,                      1,                 4.1949,              0.0083665,              0.0083665,              0.0083665
                     35,                0.11344,                0.99747,                      1,                 4.1912,               0.008317,               0.008317,               0.008317
                     36,                 0.1126,                0.99655,                      1,                 4.1921,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.1125,                0.99839,                0.99977,                 4.1903,               0.008218,               0.008218,               0.008218
                     38,                 0.0986,                0.99747,                      1,                 4.1911,              0.0081685,              0.0081685,              0.0081685
                     39,                0.10059,                0.99609,                      1,                 4.1925,               0.008119,               0.008119,               0.008119
                     40,                0.11021,                0.99563,                      1,                 4.1921,              0.0080695,              0.0080695,              0.0080695
                     41,                0.11837,                0.99747,                      1,                 4.1913,                0.00802,                0.00802,                0.00802
                     42,                0.11863,                0.99747,                      1,                 4.1913,              0.0079705,              0.0079705,              0.0079705
                     43,                0.10288,                0.99724,                      1,                 4.1906,               0.007921,               0.007921,               0.007921
                     44,                0.09434,                0.99701,                      1,                 4.1905,              0.0078715,              0.0078715,              0.0078715
                     45,                0.09676,                0.99816,                      1,                   4.19,               0.007822,               0.007822,               0.007822
                     46,                0.09176,                0.99839,                      1,                 4.1898,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.0859,                0.99885,                      1,                   4.19,               0.007723,               0.007723,               0.007723
                     48,                0.09224,                0.99885,                      1,                 4.1897,              0.0076735,              0.0076735,              0.0076735
                     49,                0.09103,                0.99839,                      1,                 4.1897,               0.007624,               0.007624,               0.007624
                     50,                0.11636,                0.99816,                      1,                 4.1898,              0.0075745,              0.0075745,              0.0075745
                     51,                0.09846,                0.99816,                      1,                 4.1897,               0.007525,               0.007525,               0.007525
                     52,                0.08435,                0.99885,                      1,                 4.1896,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.0876,                0.99839,                      1,                 4.1896,               0.007426,               0.007426,               0.007426
                     54,                0.09358,                0.99839,                      1,                 4.1896,              0.0073765,              0.0073765,              0.0073765
                     55,                0.09441,                0.99839,                      1,                 4.1896,               0.007327,               0.007327,               0.007327
                     56,                0.09073,                0.99816,                      1,                 4.1895,              0.0072775,              0.0072775,              0.0072775
                     57,                0.09266,                0.99839,                      1,                 4.1894,               0.007228,               0.007228,               0.007228
                     58,                0.08614,                0.99862,                      1,                 4.1893,              0.0071785,              0.0071785,              0.0071785
                     59,                0.08669,                0.99885,                      1,                 4.1891,               0.007129,               0.007129,               0.007129
                     60,                0.10477,                0.99908,                      1,                  4.189,              0.0070795,              0.0070795,              0.0070795
                     61,                0.08377,                0.99908,                      1,                 4.1889,                0.00703,                0.00703,                0.00703
                     62,                0.08684,                0.99908,                      1,                 4.1888,              0.0069805,              0.0069805,              0.0069805
